"","sample","response","method","MSEmean","MSEsd","MAEmean","MAEsd","MSPEmean","MSPEsd","MAPEmean","MAPEsd","MSE","MAE","MSPEs","MSPE","MAPE"
"1",42,25,"MLR",1.75226576742545,3.16129989483982,0.108586846210175,0.0458442839297164,385838478.967485,99292896.9517925,9758.4704351861,1155.90670858108,"1.752 (3.161)","0.109 (0.046)","3.86e+08 (9.93e+07)","385838479 (99292897)","9758 (1156)"
"2",42,25,"Ridge",0.103176392377091,0.0228932021198868,0.243243949390062,0.0295040971012494,28251326.2173066,14091425.5830983,2613.42694512459,560.446847365254,"0.103 (0.023)","0.243 (0.03)","2.83e+07 (1.41e+07)","28251326 (14091426)","2613 (560)"
"3",42,25,"EN",0.141910457174668,0.051815175412699,0.0585859514182228,0.00636750702472816,534691.71508932,1081407.2671996,231.226753808647,85.0878453157933,"0.142 (0.052)","0.059 (0.006)","5.35e+05 (1.08e+06)","534692 (1081407)","231 (85)"
"4",42,25,"Lasso",0.155883765378842,0.0518447755114278,0.0669529924000418,0.00746992392278919,634235.215771804,1165080.54249278,266.207249026886,92.8970551440832,"0.156 (0.052)","0.067 (0.007)","6.34e+05 (1.17e+06)","634235 (1165081)","266 (93)"
"5",42,25,"Entropy",0.13291788315912,0.0615941922968522,0.097633248474659,0.022147284881526,582232.490737838,1161376.34660202,233.734674450959,81.2289823826444,"0.133 (0.062)","0.098 (0.022)","5.82e+05 (1.16e+06)","582232 (1161376)","234 (81)"
"6",42,50,"MLR",9.05674597908746,13.9807761844544,0.176155423399119,0.102108975777071,129540434.762024,43509456.1891991,4910.14127397411,433.255690848225,"9.057 (13.981)","0.176 (0.102)","1.30e+08 (4.35e+07)","129540435 (43509456)","4910 (433)"
"7",42,50,"Ridge",0.123738205006505,0.0187151498813132,0.274296967799516,0.02298473783737,10979785.8667845,4795083.69074102,1495.91191919708,235.089854722445,"0.124 (0.019)","0.274 (0.023)","1.10e+07 (4.80e+06)","10979786 (4795084)","1496 (235)"
"8",42,50,"EN",0.173799436909483,0.0325709054839705,0.0604957936051937,0.00510807618472921,183227.316265598,301604.584776457,112.103494765142,47.246343121742,"0.174 (0.033)","0.06 (0.005)","1.83e+05 (3.02e+05)","183227 (301605)","112 (47)"
"9",42,50,"Lasso",0.185963265762343,0.0350023660868444,0.0643952081651968,0.00498872818660662,171093.806095491,259458.866335239,116.684394076345,43.7165679091802,"0.186 (0.035)","0.064 (0.005)","1.71e+05 (2.59e+05)","171094 (259459)","117 (44)"
"10",42,50,"Entropy",0.150727941423472,0.0414508855799845,0.116183312942815,0.0139587832583204,305693.49873929,570237.103764518,144.190018693207,63.0151296163874,"0.151 (0.041)","0.116 (0.014)","3.06e+05 (5.70e+05)","305693 (570237)","144 (63)"
