"","sample","response","method","MSEmean","MSEsd","MAEmean","MAEsd","MSPEmean","MSPEsd","MAPEmean","MAPEsd","MSE","MAE","MSPEs","MSPE","MAPE"
"1",42,25,"MLR",0.000126633357692426,9.74699812481503e-05,0.00803384194303135,0.00272095626746796,375025130.101958,115568690.059671,9448.10366970695,880.913877261398,"< 0.001 (< 0.001)","0.008 (0.003)","3.75e+08 (1.16e+08)","375025130 (115568690)","9448 (881)"
"2",42,25,"Ridge",0.0838678822386117,0.0212884450172118,0.231576453033722,0.0315852966767701,27635028.3489672,15473556.4217251,2493.0854273715,484.751373974381,"0.084 (0.021)","0.232 (0.032)","2.76e+07 (1.55e+07)","27635028 (15473556)","2493 (485)"
"3",42,25,"EN",0.00359808560715327,0.00123940748127627,0.0413600605880147,0.00543635657848565,786050.000640406,766233.24614834,348.837319316129,99.4205848025149,"0.004 (0.001)","0.041 (0.005)","7.86e+05 (7.66e+05)","786050 (766233)","349 (99)"
"4",42,25,"Lasso",0.00400311613601686,0.00140755033187029,0.0436848659856137,0.00624532282354987,752448.027551027,726887.012777929,343.585461504026,96.0900893322134,"0.004 (0.001)","0.044 (0.006)","7.52e+05 (7.27e+05)","752448 (726887)","344 (96)"
"5",42,25,"Entropy",0.00780831614981281,0.00308181612258389,0.0661608802560082,0.0141820643263346,348057.968011383,352694.825773497,242.339565563746,71.7231465448008,"0.008 (0.003)","0.066 (0.014)","3.48e+05 (3.53e+05)","348058 (352695)","242 (72)"
"6",42,50,"MLR",0.000592956674363601,0.000543162710522435,0.0167970521257989,0.00728921496181404,131518757.224706,56859109.5440982,4933.95016476476,626.151171849982,"< 0.001 (< 0.001)","0.017 (0.007)","1.32e+08 (5.69e+07)","131518757 (56859110)","4934 (626)"
"7",42,50,"Ridge",0.113068637340978,0.0268478055689083,0.271773914150406,0.0343893518157327,12228716.4894873,6345633.99389828,1509.56699554829,282.917979587667,"0.113 (0.027)","0.272 (0.034)","1.22e+07 (6.35e+06)","12228716 (6345634)","1510 (283)"
"8",42,50,"EN",0.00392504296042352,0.00123969870631895,0.0422303600151591,0.00444482127758146,260540.675690921,190069.05019724,182.30825929829,39.7351628256486,"0.004 (0.001)","0.042 (0.004)","2.61e+05 (1.90e+05)","260541 (190069)","182 (40)"
"9",42,50,"Lasso",0.00445917920155987,0.0013437526516232,0.0451573935608288,0.00521617058892833,254795.667073524,185528.013288239,180.916230179579,39.2471433423414,"0.004 (0.001)","0.045 (0.005)","2.55e+05 (1.86e+05)","254796 (185528)","181 (39)"
"10",42,50,"Entropy",0.00773006669359331,0.00236931496227297,0.0657180923342445,0.0117576737558295,117119.797551302,67762.2561248143,138.286361177621,26.527092477849,"0.008 (0.002)","0.066 (0.012)","1.17e+05 (6.78e+04)","117120 (67762)","138 (27)"
